iter	Passed	Remaining
1179	92009	24951
1180	92087	24873
1181	92167	24796
1182	92245	24718
1183	92327	24641
1184	92418	24566
1185	92533	24498
1186	92639	24428
1187	92741	24356
1188	92840	24283
1189	92937	24210
1190	93027	24135
1191	93115	24060
1192	93201	23984
1193	93286	23907
1194	93368	23830
1195	93451	23753
1196	93534	23676
1197	93628	23602
1198	93723	23528
1199	93804	23451
1200	93902	23377
1201	93999	23304
1202	94085	23228
1203	94161	23149
1204	94236	23070
1205	94311	22991
1206	94391	22913
1207	94471	22835
1208	94551	22758
1209	94638	22682
1210	94725	22605
1211	94821	22531
1212	94917	22457
1213	95012	22383
1214	95103	22308
1215	95199	22233
1216	95295	22159
1217	95412	22090
1218	95546	22025
1219	95671	21957
1220	95775	21884
1221	95876	21811
1222	95979	21738
1223	96080	21665
1224	96176	21590
1225	96261	21513
1226	96355	21438
1227	96437	21360
1228	96557	21291
1229	96659	21217
1230	96755	21143
1231	96842	21066
1232	96931	20990
1233	97018	20913
1234	97100	20835
1235	97180	20757
1236	97261	20678
1237	97340	20600
1238	97434	20524
1239	97524	20448
1240	97601	20369
1241	97675	20290
1242	97761	20212
1243	97841	20134
1244	97923	20056
1245	98007	19979
1246	98090	19901
1247	98172	19823
1248	98256	19745
1249	98340	19668
1250	98422	19590
1251	98503	19511
1252	98585	19433
1253	98663	19355
1254	98744	19276
1255	98821	19197
1256	98895	19118
1257	98979	19040
1258	99062	18962
1259	99145	18884
1260	99235	18808
1261	99325	18731
1262	99422	18656
1263	99520	18581
1264	99609	18504
1265	99693	18426
1266	99780	18349
1267	99862	18271
1268	99946	18193
1269	100030	18115
1270	100111	18037
1271	100189	17958
1272	100272	17880
1273	100391	17808
1274	100491	17733
1275	100589	17658
1276	100688	17582
1277	100773	17505
1278	100854	17426
1279	100932	17347
1280	101016	17269
1281	101098	17191
1282	101180	17113
1283	101264	17035
1284	101349	16957
1285	101437	16879
1286	101526	16802
1287	101611	16724
1288	101697	16647
1289	101786	16569
1290	101867	16491
1291	101953	16413
1292	102035	16335
1293	102116	16256
1294	102193	16177
1295	102272	16098
1296	102348	16019
1297	102427	15940
1298	102507	15861
1299	102592	15783
1300	102674	15704
1301	102754	15626
1302	102831	15546
1303	102920	15469
1304	103010	15392
1305	103106	15316
1306	103202	15239
1307	103287	15161
1308	103375	15083
1309	103463	15006
1310	103544	14927
1311	103634	14850
1312	103713	14771
1313	103791	14691
1314	103869	14612
1315	103946	14533
1316	104025	14454
1317	104107	14375
1318	104189	14297
1319	104264	14217
1320	104340	14138
1321	104420	14059
1322	104508	13981
1323	104590	13903
1324	104672	13824
1325	104760	13746
1326	104840	13668
1327	104925	13589
1328	105004	13510
1329	105085	13431
1330	105164	13352
1331	105244	13274
1332	105316	13194
1333	105397	13115
1334	105476	13036
1335	105565	12958
1336	105678	12883
1337	105765	12805
1338	105855	12727
1339	105939	12649
1340	106021	12570
1341	106101	12491
1342	106186	12413
1343	106263	12334
1344	106345	12255
1345	106425	12176
1346	106506	12097
1347	106589	12018
1348	106680	11941
1349	106777	11864
1350	106864	11785
1351	106963	11709
1352	107057	11631
1353	107159	11554
1354	107240	11475
1355	107322	11397
1356	107406	11318
1357	107493	11240
1358	107579	11161
1359	107664	11083
1360	107749	11004
1361	107831	10925
1362	107920	10847
1363	108009	10769
1364	108101	10691
1365	108192	10613
1366	108279	10534
1367	108363	10456
1368	108442	10376
1369	108521	10297
1370	108603	10218
1371	108688	10140
1372	108774	10061
1373	108848	9981
1374	108925	9902
1375	109005	9823
1376	109080	9743
1377	109160	9664
1378	109238	9585
1379	109314	9505
1380	109393	9426
1381	109474	9347
1382	109554	9268
1383	109625	9188
1384	109702	9108
1385	109782	9029
1386	109857	8950
1387	109940	8871
1388	110055	8794
1389	110153	8717
1390	110243	8638
1391	110331	8560
1392	110417	8481
1393	110496	8402
1394	110579	8323
1395	110669	8244
1396	110765	8166
1397	110858	8088
1398	110944	8009
1399	111028	7930
1400	111104	7851
1401	111187	7772
1402	111272	7693
1403	111362	7614
1404	111451	7535
1405	111542	7457
1406	111616	7377
1407	111702	7298
1408	111798	7220
1409	111898	7142
1410	111994	7064
1411	112105	6986
1412	112225	6909
1413	112353	6833
1414	112466	6755
1415	112576	6678
1416	112674	6599
